MARC-8	UCS	UTF-8	CHAR	NAME
69213C	30FC	E383BC	ー	Vowel elongation mark for kana
692421	3041	E38181	ぁ	Hiragana letter small A
692422	3042	E38182	あ	Hiragana letter A
692423	3043	E38183	ぃ	Hiragana letter small I
692424	3044	E38184	い	Hiragana letter I
692425	3045	E38185	ぅ	Hiragana letter small U
692426	3046	E38186	う	Hiragana letter U
692427	3047	E38187	ぇ	Hiragana letter small E
692428	3048	E38188	え	Hiragana letter E
692429	3049	E38189	ぉ	Hiragana letter small O
69242A	304A	E3818A	お	Hiragana letter O
69242B	304B	E3818B	か	Hiragana letter KA
69242C	304C	E3818C	が	Hiragana letter GA
69242D	304D	E3818D	き	Hiragana letter KI
69242E	304E	E3818E	ぎ	Hiragana letter GI
69242F	304F	E3818F	く	Hiragana letter KU
692430	3050	E38190	ぐ	Hiragana letter GU
692431	3051	E38191	け	Hiragana letter KE
692432	3052	E38192	げ	Hiragana letter GE
692433	3053	E38193	こ	Hiragana letter KO
692434	3054	E38194	ご	Hiragana letter GO
692435	3055	E38195	さ	Hiragana letter SA
692436	3056	E38196	ざ	Hiragana letter ZA
692437	3057	E38197	し	Hiragana letter SHI
692438	3058	E38198	じ	Hiragana letter JI
692439	3059	E38199	す	Hiragana letter SU
69243A	305A	E3819A	ず	Hiragana letter ZU
69243B	305B	E3819B	せ	Hiragana letter SE
69243C	305C	E3819C	ぜ	Hiragana letter ZE
69243D	305D	E3819D	そ	Hiragana letter SO
69243E	305E	E3819E	ぞ	Hiragana letter ZO
69243F	305F	E3819F	た	Hiragana letter TA
692440	3060	E381A0	だ	Hiragana letter DA
692441	3061	E381A1	ち	Hiragana letter CHI
692442	3062	E381A2	ぢ	Hiragana letter JI
692443	3063	E381A3	っ	Hiragana letter small TSU
692444	3064	E381A4	つ	Hiragana letter TSU
692445	3065	E381A5	づ	Hiragana letter DZU
692446	3066	E381A6	て	Hiragana letter TE
692447	3067	E381A7	で	Hiragana letter DE
692448	3068	E381A8	と	Hiragana letter TO
692449	3069	E381A9	ど	Hiragana letter DO
69244A	306A	E381AA	な	Hiragana letter NA
69244B	306B	E381AB	に	Hiragana letter NI
69244C	306C	E381AC	ぬ	Hiragana letter NU
69244D	306D	E381AD	ね	Hiragana letter NE
69244E	306E	E381AE	の	Hiragana letter NO
69244F	306F	E381AF	は	Hiragana letter HA
692450	3070	E381B0	ば	Hiragana letter BA
692451	3071	E381B1	ぱ	Hiragana letter PA
692452	3072	E381B2	ひ	Hiragana letter HI
692453	3073	E381B3	び	Hiragana letter BI
692454	3074	E381B4	ぴ	Hiragana letter PI
